question,answer
Who was the founder of Ravenclaw House?,Rowena Ravenclaw
What is the name of the spell used to create a temporary barrier?,Protego
What was Elfric the Eager's uprising?,A revolt.
What is the name of the spell used to create a ring of fire?,Furnunculus
What is the name of the spell used to repair objects?,Reparo
What is the name of Severus Snape's childhood friend who later became a Death Eater?,Lily Evans
What is the name of the spell used to create a shield around the caster?,Protego
What was the Seeker originally called?,The Hunter
What is the name of the spell used to create fire?,Incendio
"""Lemon Drop"" is the password to whose office?",Dumbledore
The Deflating Drought is an antidote to which potion?,Swelling Solution
Who teaches Defense Against the Dark Arts during Harry's second year at Hogwarts?,Gilderoy Lockhart
Which character is the owner of the Elder Wand before Harry?,Albus Dumbledore.
What is the name of the magical creature that resembles a large bird and is used in Wizarding duels?,Hippogriff
"In which place does Harry find one of Voldemort’s Horcruxes in ""Harry Potter and the Half-Blood Prince""?",The Cave.
What role does Neville Longbottom’s friendship with Harry and the others play in his development as a leader?,"It helps him gain confidence in himself and his abilities, while also teaching him about the importance of courage and perseverance in the face of adversity."
What is the name of the spell used to summon an object to the caster?,Accio
What position did Ginny Weasley play on the Gryffindor Quidditch team?,Seeker
Where are Kappas most commonly found?,Japan
What magical creature is known for its ability to regenerate its limbs?,Blast-Ended Skrewt
What is the name of the tree that Harry and Ron crash into with the flying car?,The Whomping Willow
What is the name of the spell used to create a shield around the caster?,Protego
In which place does Harry receive his first broomstick?,The Hogwarts Quidditch Pitch.
"What is the name of the magical creature that resembles a large, winged horse?",Thestral
What is the name of the magical creature that resembles a large bird and is used in Wizarding duels?,Hippogriff
Where was Harry Potter born?,Godric's Hollow.
Who is the Half-Blood Prince?,Severus Snape
Which of these factors does not affect Transfiguration?,Hue
What charm creates water?,Aguamenti
What do Flobberworms eat?,Lettuce
What impact does Hermione’s friendship with Harry and Ron have on her character development?,"It helps her become more confident and compassionate, while also teaching her about loyalty and bravery."
"In the wizarding world, speaking to snakes is a skill called what; famously practiced by who?","Parseltongue, Lord Voldemort."
What role does Neville Longbottom’s friendship with Harry and the others play in his development as a leader?,"It helps him gain confidence in himself and his abilities, while also teaching him about the importance of courage and perseverance in the face of adversity."
What class does Professor Vector teach?,Arithmancy
What is the name of the spell used to disarm opponents?,Expelliarmus
What colour does the presence of a ghost turn flames?,Blue
What is the name of the spell used to freeze objects in place?,Immobilus
What spell does Professor McGonagall use to animate the suits of armor to protect Hogwarts?,Piertotum Locomotor.
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.
What is the name of the ghost who frequents the Dueling Club at Hogwarts?,The Bloody Baron.
How do fairies communicate?,By buzzing.
In what year was the book Harry Potter and the Sorcerer’s Stone released in the United States?,1998
What is the name of the spell used to reveal hidden messages or invisible ink?,Revelio
What is the name of the ghost who haunts the girls' bathroom on the second floor of Hogwarts?,Moaning Myrtle
What is the name of Ron's brother who works at Gringotts?,Bill Weasley
What role does Ginny Weasley’s friendship with Luna Lovegood play in her growth as a character?,"It helps her become more open-minded and accepting of others, while also teaching her about the importance of diversity and individuality."
"In which place does Harry first encounter the Dementors in ""Harry Potter and the Prisoner of Azkaban""?",The Hogwarts Express.
"Why does Cornelius Fudge refuse to believe Harry and Dumbledore about Voldemort’s return in ""Harry Potter and the Order of the Phoenix""?",Because he fears the panic and chaos that would result from acknowledging the truth.
What was the Seeker originally called?,The Hunter
What do I hate most of all?,Myths and Legends
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.
What is the name of the ghost who is the Gryffindor House's ghost?,Nearly Headless Nick
"Why does Harry discover that he is a wizard in ""Harry Potter and the Philosopher’s Stone""?",Hagrid tells him on his 11th birthday.
What is the name of the three-headed dog that guards the trapdoor in the Sorcerer's Stone?,Fluffy
When was the Golden Snidget first introduced into the game of Quidditch?,1269
What is the name of the professor who teaches Care of Magical Creatures at Hogwarts?,Professor Rubeus Hagrid
How does Dumbledore’s relationship with Harry influence his understanding of power and authority?,It teaches him that true power comes from using one’s influence for the greater good and making difficult choices for the sake of others.
In which place does Harry first see the dragon Norbert?,The Astronomy Tower.
Catching what object ends a Quidditch match?,Golden Snitch
What is the name of the potion that grants the drinker luck for a short period?,Felix Felicis
Which is a possible side effect of Pepperup Potions?,Steam Coming Out of Ears
What is the name of the potion that grants the drinker immense strength?,Felix Felicis
"What is the name of the magical creature that is a large, black dog with a wild, gleaming eye?",Grim
On what date did the Battle of Hogwarts end with Voldemort’s death?,"May 2, 1998"
Which plant's pus clears up acne?,Bubotuber
Who was the founder of Beauxbatons Academy of Magic?,Beauxbatons
Which creature is known to steal things?,Niffler
No spell yet devised allows a wizard to what?,Fly unaided
Which spell does the Cleaning Charm most resemble?,Scouring Charm
"Why does Harry visit the Chamber of Secrets in ""Harry Potter and the Chamber of Secrets""?",To save Ginny Weasley and destroy Tom Riddle’s diary.
What impact does Harry’s friendship with Hermione have on his understanding of gender equality and feminism?,It encourages him to challenge traditional gender roles and to view Hermione as an equal and valued friend and ally.
What is the name of the potion that grants the drinker immense luck?,Felix Felicis
"Why does Harry attend the Slug Club Christmas party in ""Harry Potter and the Half-Blood Prince""?",Because Professor Slughorn invited him.
What is Professor Snape’s Patronus?,A doe (the same as Lily Potter’s—sob)
Who is the headmaster of Hogwarts during Harry's time there?,Albus Dumbledore
Which of these is not a form of Transfiguration?,Enchantment
What is the name of the woman who runs the Hogwarts kitchen?,Madam Pomfrey.
What is the name of the Minister of Magic before Cornelius Fudge?,Millicent Bagnold
"In 1997, what was written on the statue at the Ministry of Magic under Voldemort's control?",Magic is Might
What impact does Harry’s friendship with Hermione have on his academic performance?,"It helps him improve his study habits and academic skills, while also providing emotional support and encouragement."
Which Quidditch ball is the biggest?,Quaffle
How is Quodpot different from Quiddtich?,The ball explodes.
How does Sirius Black’s friendship with James Potter shape his relationship with Harry?,"It creates a strong bond between Sirius and Harry, as Sirius sees James reflected in Harry and feels a sense of responsibility for his well-being."
What role does Hermione’s friendship with Harry and Ron play in her development as a leader?,"It helps her hone her leadership skills and learn to delegate responsibilities, while also teaching her about the importance of collaboration and teamwork."
What form does Snape's patronus take?,Doe
Who was in love with Helena Ravenclaw?,The Bloody Baron
Which character is the father of Hermione Granger?,Mr. Granger.
What is the incantation for the Shield Charm?,Protego
What is the name of the magical candy that Dumbledore gives Harry in 'Harry Potter and the Philosopher's Stone'?,Bertie Bott's Every Flavor Beans
What type of ball attempts to hit players?,Bludger
Who was the ghost of Hufflepuff House during Harry Potter's time at Hogwarts?,The Fat Friar
What is the name of the goblin who is the manager of Gringotts bank?,Griphook
"Why does Harry receive his Hogwarts acceptance letter in ""Harry Potter and the Philosopher’s Stone""?",Hagrid delivers it after finding Harry.
"Why does Harry encounter the giant spider Aragog in the Forbidden Forest in ""Harry Potter and the Chamber of Secrets""?",To gather information about the Chamber of Secrets.
What is Aberforth Dumbledore's role in the series?,He is the owner of the Hog's Head Inn and Albus Dumbledore's younger brother.
Which character is known for their exceptional skill in dueling and for being a member of the Order of the Phoenix?,Nymphadora Tonks.
Porlocks guard herds of what non-magical creatures?,Horses
In which place do Harry and his friends encounter the Hungarian Horntail during the Triwizard Tournament?,The First Task Arena.
What is the name of the potion used to cure petrification?,Mandrake Restorative Draught
Which character is the eldest son of Arthur and Molly Weasley?,Bill Weasley.
